Coin,Price,24H Volume,Market Cap,Circulating Supply
42,790000,141753.3734999999,33179961.748199996,41.99995158
300,1186.0047331972,0,355801.41995916003,0
365,5.25e-06,0.067962405,0,0
404,8.92e-06,0,0,0
433
611,0.58603624,0,0,0
808,2.997899999999999e-08,0,0,0
888,0.0005095,337.4693561822123,0,0
1337,0.0002155051,0,0,0
1717
2015,3.85e-06,0,0,0
BTC,21549.1,8346278657.294882,411335685530,19088300
ETH,1215.84,5813592557.231203,147676234614.22415,121460253.499
LTC,51.83,135076947.4728467,3662982664.61582,70673020.73347135
DASH,45.438171,10265989.822837321,491398715.48754954,10814667.59495116
XMR,128.889714,44794810.24009402,2338683106.3800464,0
NXT,0.0034477152,654.5772735524091,3444267.236349681,0
ETC,15.6,96111342.10914646,2096021712.9653876,134360366.21572998
DOGE,0.06904,173259934.23856026,9331021554.331009,135153846383.70523
ZEC,58.51,24780075.34433165,738804170.2029321,0
BTS,0.010952328,1465192.0627116442,32797327.766508926,0
DGB,0.010552608,4467416.740071028,163287820.75385478,0
XRP,0.3455,665370765.1683238,34546384391.561,48343101197
BTCD,49.965000019986,0,0,0
PPC,0.2762766408,1218.3141698396014,7635908.887378232,0
CRAIG,0.0040951783,0,0,0
XBS,1.35276417,3.912216579329659,0,0
XPY,0.00689083,0,0,0
PRC,1e-08,0,0,0
YBC,4998,0,0,0
DANK,0.005819061600000001,0,0,0
GIVE,0.0008620824,0,0,0
KOBO,0.00500053,0,0,0
DT
CETI,0.01293339,0,0,0
SUP,0.1967774292,0,0,0
XPD,1340,186476.74110059996,0,0
GEO,0.0508881372,84.72935177589675,0,0
CHASH,0.217142431,0,0,0
NXTI,0.7915887429999999,0,0,0
WOLF,0.10781385,0,0,0
XDP,0.45562619,0,0,0
AC,2.257607506,0,0,0
ACOIN,0.0023730135,0.12134597529437953,0,0
AERO
ALF
AEGIS
AMERICANCOIN,0.0097051725,0,0,0
ALIEN
APEX,0.027818205,0,0,0
ARCH,0.609190152,0,0,0
ARG,0.001078385,0,0,0
ARI,0.011214892,0,0,0
AURORAC,0.0368,0,3675054.207034215,0
AXR
BETACOIN,0.0140243415,0,0,0
BEAN,0.00074563,0,0,0
BLU,0.00056775,0,0,0
BLK,0.014019005,430.16786004800736,861772.1305889952,0
BOST,0.000215739,0,0,0
BQC,0.06450312050000001,0,0,0
XMY,0.000169881,5.968558980384842e-13,0,0
MOONC,8.51984e-05,0,0,0
ZET,0.0142380678,0,0,0
SXC,0.0015703686,4134.49169558028,0,0
QTL,12.1499102445,0,0,0
ENRG,0.014023035,0,0,0
QRK,0.000592,0,166012.514404786,0
RIC,0.0200651406,0,0,0
DGC,0.0655892768,0,0,0
LIMX,0.1523320668,0,0,0
BTB,2.04941695,267.1764175214591,0,0
CAIX,0.1087469712,0,0,0
BTMK,0.03244548225299999,0,0,0
BUK,8.738045099999999,0,0,0
CACH,0.0269695125,0,0,0
CANN,0.00660834,0,0,0
CAP,0.005178316799999999,0,0,0
CASH,0.000647301,0,0,0
CATC,0.0343077798,0,0,0
CBX,0.130005,7.150273036924503,0,0
CCN,0.12946332,0,0,0
CIN,0.03339997,0,0,0
CINNI,0.03322891880000001,0,0,0
CXC,0.0427147182,0,0,0
CLAM,0.30025112,0,0,0
CLOAK,0.34200001,29625.35931951867,2005039.9708002133,0
CLR,0.00038224,3.6739065812868557,0,0
CMC,0.00192692,0,0,0
CNC,0.0010786355,0,0,0
CNL
COMM,0.0028041832,0,0,0
COOL
CRACK
CRYPT,0.0146629488,0,0,0
CSC,0.0004313514,448.06918871559265,0,0
DEM,0.00180003,0,0,0
DIAM,0.58782,0,0,0
XVG,0.003307683,2590323.4838744737,54601134.67962172,0
DRKC,0.2111235038,0,0,0
DSB
DEVCOIN
EAC
EFL,0.073311106,0,0,0
ELC,0.0187944615,0,0,0
EMC2,0.0090560988,16069.69240035821,2016702.4380097731,0
EMD,0.0015093463,6.939268029953067e-14,0,0
EXCL,0.0207000384,1949.170546767291,0,0
EXE,0.06986133359999999,0,0,0
EZC
FLAP,0.004527276427,0,0,0
FC2,0.0245836896,0,0,0
FFC,3.228e-05,0,0,0
FIBRE,1.5785214,0,0,0
FRC,0.2141368752,0,0,0
FLT,0.008903316,0,0,0
FRK,0.02,0,0,0
FRAC,0.5173237185999999,0,0,0
FSTC
FTC,0.006684995,267.2170889329448,1731218.6235275853,0
GDC,0.000215645,0,0,0
GLOBAL
GLC,0.08699777,9026.3883780225,3838795.044774753,0
GLX
GLYPH,2.0681850171,0,0,0
GML,0.0006469242,0,0,0
GUE
HAL,0.6069586499999999,0,0,0
