Time,BTC-USD,ETH-USD,USDT-USD,USDC-USD,BNB-USD,SAITAMA-USD,XRP-USD,SOL-USD,BUSD-USD,ADA-USD,DOGE-USD,BTC-INR,ETH-INR,USDT-INR,USDC-INR,BNB-INR,SAITAMA-INR,XRP-INR,SOL-INR,BUSD-INR,ADA-INR,DOGE-INR,BTC-EUR,ETH-EUR,USDT-EUR,USDC-EUR,BNB-EUR,SAITAMA-EUR,XRP-EUR,SOL-EUR,BUSD-EUR,ADA-EUR,DOGE-EUR
1598400000,16728671083.03,6539949446.47,27888346358.71,254518236.82,307752742.98,0,872034648.7,2015374.9,340262100.56,292901899.06,111478404.4,1377992909346.86,538654002643.62,2298278623421.29,20969757531.6,25353729126.54,0,71844301256.25,166339393.32,28030192242.1,24136243028.22,9309126513.93,14141865905.9,5528004002.09,23587963350.2,215220621.05,260107853.88,0,738942922.93,1707107.7,287652318.83,247840068.43,94348795.92
1598486400,18300661282.78,7119305446.76,28329888988.4,342074366.34,364336790.01,0,1250100568.25,1829971.45,448288514.33,332772101.44,124652956.85,1369644478357.6,532815667730.93,2120775489671.62,25611107807.88,27263355074.7,0,93544940481.5,137285074.77,33567843953.03,24878823837.11,9247691236.14,15497762724.96,6028889358.85,23995415973.17,289805403.16,308418259.76,0,1059231093.73,1553508.59,379790029.34,281445183.65,105409656.63
1598572800,15700956607.86,6326482966.12,23479199882.11,299333581.29,313933293.24,0,917181183.68,2231630.81,360458602.42,241560671.85,86135001.07,1247921680537.72,502835756597.85,1865669888734.13,23794026376.74,24955317500.37,0,72895496062.5,178122682.47,28656458892.39,19177184359.46,6822232266.4,13210504912.93,5322985111.81,19749736564.17,251859275.3,264171671.19,0,773481594.04,1885853.72,303325913.94,203144590.55,72979547.35
1598659200,12508848473.39,5917560237.37,21984627715.78,216675485.26,240322375.43,0,698010803.07,1415554.47,291535110.16,223883228.19,111129564.28,995655233497.94,471010650803.37,1750204777892.67,17238796848.96,19130791028.51,0,55540370722.23,112979165.04,23203398827.32,17774331418.46,8924040767.92,10534646824.25,4983536504.7,18516722904.27,182410021.4,202343697.9,0,589272892.49,1195516.38,245518579.28,188783867.89,93247807.12
1598745600,14728118668.04,8135672052.81,25145810927.14,247832431.99,267423155.44,0,885795915.03,1271943.18,327466280.35,233131566.5,110132000.18,1140431574879.79,629958974446.59,1948045972525.54,19194621857.63,20710701658.74,0,68585822880.83,98529553.18,25368812738.71,18039942645.72,8456326495.43,12367240668.73,6831477455.59,21124995759.89,208154459.63,224436353.8,0,745620510.61,1068489.82,275104422.12,195247686.94,91721179.11
1598832000,16537418482.5,9046186602.22,26537278490.14,261680990.37,254038441.59,0,896910407.23,2687132.43,422764006.11,396260374.06,126582067.26,1307606435200.09,715272810513.63,2097266834520.65,20696349528.36,20088789334.51,0,70885882931.2,209585156.11,33440632883.3,31312973114.61,9942432002.56,13878933356.96,7591970536.05,22261091656.52,219681191.42,213326449.44,0,753799969.12,2224565.76,354910383.13,331294358.41,103931350.42
1598918400,22646923030.76,14706150027.02,37060637147.26,410440771.47,594991852.35,0,1496074351.77,1493471.72,728279938.3,337678473.76,116228080.48,1686939089561.93,1095451071248.22,2761388073842.34,30573733066.8,44312944120.62,0,111433490634.02,111565831.51,54242289804.58,25140392545.54,8746989238.93,19004408677.54,12341067179.55,31108698821.41,344441895.42,499273680.47,0,1257107484.07,1256841.04,611682320.18,282707559.43,95626248.91
1599004800,23737035960.48,14561508011.48,38625506101.85,426113764.39,742091393.59,0,1698294677.87,1445275.94,853301913.93,306502258.92,60624553.02,1799996020466.13,1104246863192.18,2928747165964.65,32314408497.69,56274913640.61,0,128755577677.41,109246975.08,64722950171.59,23183054640.25,4564442153.22,20078630555.92,12317837961.83,32667685780.05,360436497.84,627669369.73,0,1437586153.82,1218728.5,721978749.38,258519901.82,51667764.22
1599091200,26709192385.32,14507059804.71,42725892169.75,531531110.06,695370246.55,0,1508171482.35,987442.84,978430561.56,326782486.46,60740557.27,2349064967654.11,1276243850156.82,3758430175610.07,46743939678.9,61156396499.04,0,132711700468.2,87046492.93,86092105111.66,28649658505.31,5123924105.23,22645174643.98,12303273331.21,36233942053.43,450606693.3,591935202.51,0,1278466311.7,839029.59,830002645.37,276854048.17,50221242.89
1599177600,22944787944.72,10849956378.34,34376141078.87,483028438.18,506809871.81,0,1421696421.53,4033.26,650631361.74,390492783.74,52560777.88,1900501366883.1,899229742214.41,2846495434445.26,40007879929.76,41976533657.69,0,117757801830.28,333047.53,53902955873.25,32296050231.49,4369487962.58,19418302537.09,9187782759.91,29085920565.54,408764625.36,428968888.17,0,1204391939.02,3403.24,550729223.58,330808641.6,45710704.91
