bid,bid-size,ask,ask-size
20455.14,0.32711,20455.15,0.17727
20455.12,0.12662,20456.01,0.02015
20455.08,0.12662,20456.02,0.06303
20454.34,0.01681,20456.36,0.13
20453.51,0.17568,20456.69,0.0026
20453.48,0.12662,20456.8,0.07839
20453.44,0.07491,20456.85,0.6
20453.24,0.12662,20457.47,0.04888
20453.23,0.12662,20457.66,0.08995
20452.83,0.12662,20457.67,0.6
20452.82,0.12662,20458.18,0.0496
20452.58,0.09526,20458.25,0.04888
20452.57,0.11137,20459.01,0.00742
20452.34,0.12662,20459.55,0.20923
20449.96,0.29757,20459.56,0.6
20449.81,0.6,20459.8,0.2
20449.61,0.15873,20459.84,0.03996
20449.57,0.01027,20461.24,0.15868
20449.16,0.04888,20461.41,0.04888
20447.93,0.04888,20461.81,0.04922
20447.61,0.19,20463.37,0.07333
20445.46,0.04888,20464.32,0.22772
20445.37,0.2435,20464.52,0.08
20445.31,0.04823,20464.87,0.6
20445.09,0.08,20466.7,0.12
20444.59,0.56489,20466.71,0.68964
20443.66,0.07332,20466.72,0.13
20443.19,0.051,20466.81,0.4
20442.9,0.2,20467.52,0.075
20442.7,0.10199,20467.53,0.2
