bid,bid-size,ask,ask-size
1181.03,2.4159,1181.09,0.95
1181.02,2.4159,1181.1,1.9199
1181.01,2.4159,1181.11,3.3659
1181,2.4159,1181.12,2.4159
1180.99,2.497,1181.13,2.4159
1180.89,7.5654,1181.14,2.4159
1180.85,0.0837,1181.15,2.4159
1180.84,0.0538,1181.16,3.4338
1180.78,0.0629,1181.17,2.4159
1180.76,7.5,1181.18,0.4233
1180.68,0.0568,1181.23,0.5059
1180.65,0.0769,1181.24,5.5
1180.57,2.8007,1181.27,0.4107
1180.56,7.5,1181.32,2.1167
1180.52,0.0754,1181.33,0.7
1180.47,2.1166,1181.34,0.6661
1180.38,0.8507,1181.38,0.8607
1180.21,0.423,1181.42,0.0587
1180.2,2.9568,1181.45,3.1652
1180.18,4.221,1181.49,0.0617
1180.16,0.8834,1181.5,0.0769
1180.05,0.892,1181.54,0.063
1180.04,3.1652,1181.57,3.3244
1179.99,7.1644,1181.59,2.1648
1179.9,6.981,1181.61,1.995
1179.81,3.6345,1181.62,2.1167
1179.78,2.9634,1181.64,0.087
1179.74,3.5,1181.7,1.416
1179.63,0.8,1181.71,2.093
1179.62,0.0186,1181.72,3.5178
