bid,bid-size,ask,ask-size
20481.61,0.79961,20481.62,10.06047
20481.57,0.03973,20482.12,0.04809
20481.56,0.01643,20482.16,0.005
20481.54,0.00772,20482.17,6.38253
20481.53,0.01743,20482.19,0.585
20481.36,0.00108,20482.2,0.25
20481.17,0.0081,20482.51,0.29685
20481.16,0.03372,20482.56,0.2546
20481.15,0.00186,20482.71,0.21856
20481.14,0.01952,20483.16,0.14646
20481.1,0.01188,20483.17,0.19542
20481.07,0.00411,20483.32,0.44734
20480.91,0.0383,20483.49,0.19542
20480.88,0.0148,20483.67,0.1
20480.87,0.00101,20483.71,0.38991
20480.86,0.01166,20483.76,0.22068
20480.85,0.00833,20483.92,0.46381
20480.53,0.00049,20484.08,0.82297
20480.51,0.04911,20484.18,0.27692
20480.17,0.00055,20484.19,0.09848
20480.14,0.42338,20484.2,0.22
20480,0.04932,20484.28,0.32773
20479.94,0.01831,20484.41,0.03778
20479.56,0.1,20484.47,0.34328
20479.49,0.1002,20484.93,0.2441
20478.96,0.03335,20485.06,0.03746
20478.86,0.22177,20485.1,0.2
20478.83,0.02302,20485.61,0.1
20478.63,0.22,20485.64,0.00055
20478.53,0.01,20485.72,0.00073
