bid,bid-size,ask,ask-size
1185,6.4798,1185.01,47.2526
1184.96,4.8311,1185.02,0.0215
1184.94,5.2836,1185.09,0.4221
1184.93,0.0777,1185.1,0.0094
1184.91,1.1516,1185.11,0.7532
1184.9,0.01,1185.12,4.7132
1184.87,0.1899,1185.13,1.1541
1184.86,0.8688,1185.14,1.9605
1184.85,0.4041,1185.15,8.5292
1184.83,0.0094,1185.16,0.2895
1184.79,5.1861,1185.17,5.3253
1184.78,1.6531,1185.2,0.4366
1184.77,19.2917,1185.26,0.4257
1184.76,0.8223,1185.27,4.2197
1184.74,4.2155,1185.3,2.8553
1184.73,43.1911,1185.32,0.4223
1184.71,0.8,1185.35,1.2
1184.7,0.6319,1185.38,0.0085
1184.68,6.8255,1185.4,31.6821
1184.67,1.5,1185.41,3.4222
1184.65,5.4,1185.45,27.8596
1184.64,10.591,1185.46,3.8925
1184.63,0.0202,1185.48,27.1925
1184.58,3.4504,1185.5,10.128
1184.57,0.8587,1185.52,2.531
1184.56,2,1185.55,0.1652
1184.55,0.0428,1185.56,4.3089
1184.54,26.0731,1185.59,0.8715
1184.53,0.8429,1185.6,0.055
1184.48,0.8801,1185.61,1.5
