time,coinbase,gemini,binance,kraken,bitstamp,lmax,crosstower,ftx,cexio,itbit
1647734400,439443807.64,16406941.48,2558687702.69,148375567.55,58932763.76,55303365.68,2884134.18,449116978.39,2817732.69,3963880.11
1647820800,632060052.88,35838712.6,3243359573.51,149271328.59,105327266.62,81262407.17,5311080.66,585102137.33,3086090.84,5297536.17
1647907200,1031405584.67,79611460.44,4567804963.8,279914269.53,139576773.28,194138622.1,8281497.3,783929475.13,6069679.35,15957382.82
1647993600,794649575.27,47496554.86,3486612841.57,179179534.75,111573828.21,168379285.66,4584303.09,619843255.44,2767743.49,9905698.61
1648080000,1184333077.76,63635109.62,4434489601.73,265210760.01,152831111.53,95184443.17,5526370.18,747610332.35,4421800.25,14014836.04
1648166400,1034429284.18,50411849.34,4287725592.69,277501457.51,117085771.46,181253198.5,4382154.94,732572620.8,3466712.35,10465304.16
1648252800,398190434.48,13016153.83,2101929783.17,103461095.98,30257591.18,30248237.3,1731359.59,288212798.55,1538045.96,2950037.19
1648339200,636139682.27,46176513.19,3697859994.86,190237172.65,96532282.11,68336592.78,1463348.45,557257518.51,4323997.94,13796415.49
1648425600,1107309306.8,68623643.34,5020448513.93,320816911.15,184428309.56,112708781.25,894974.2,842798479.35,4096427.47,16591191.07
1648512000,883494588.25,49699900.66,3896444788.05,213170783.99,148015576.86,182071338.75,764343.78,676805306.69,3424127.3,12368989.71
1648598400,764891592.14,38699662.15,3812148944.97,223175847.4,120027726.12,143149834.3,472446.36,628200250.12,3639342.75,7474910.73
1648684800,1023034610.49,50846979.14,4714963861.55,236309441.83,101405799.91,100788512.78,1042923.91,724356862.03,4372905.76,10220745.38
1648771200,1088199229.16,55674986.38,5186396135.55,334422168.26,153366069.89,190344291.22,3018743.7,898358679.22,3443775.41,11819400.18
1648857600,518491928.44,29488928.29,3670863632.63,126863106.19,56604262.48,109298968.04,1672055,473829410.35,2626533.09,7250917.59
1648944000,547174926.28,29446598.97,3250254634.02,120398590.44,77229615.5,98353673.51,2148516.1,524322401.23,2401009.67,6512848.96
1649030400,827213599.41,63533218.62,4305342006.31,177052645.36,107892278.72,122787231.89,2772324.73,604464205.31,3028210.12,8520657.1
1649116800,858054690.15,47463608.13,3775460384.35,173149892.47,85940654.21,124986470.04,516897.95,593073963.94,2898450.65,8565217.42
1649203200,1360089707.33,82681994.48,4937693477.24,336077704.85,183260315.21,116794599.57,8942981.79,867097041.52,5327706.27,11414046.14
1649289600,745239906.33,44350747.37,3282870269.36,150483496.32,95840385.08,122408236.62,5573237.45,559318843.66,2663609.35,5604967.78
1649376000,644639453.63,49377844.24,3508313038.72,180008083.98,87429804.52,155701735.95,8510054.13,670961396.42,3567873.27,11484409.14
1649462400,257992230.73,18207452.65,1701833132.42,63031949.73,33774799,22478326.04,2777821.22,237076242.01,1566186.5,3223470.14
1649548800,320699559.09,21698231.57,1925365014,89287586.39,56269381.42,40536329.85,4516776.46,333499129.82,2011577.9,6488729.82
1649635200,873829294.14,80851385.85,4478392330.94,271969865.15,135059378.2,88458248.85,10665027.52,829353262.96,4691821.38,21350614.13
1649721600,710427012.78,65067864.78,4113766407.79,187731841.78,124833867.91,105018230.13,3921277.08,690874744.37,3627041,13611826.27
1649808000,605632450.79,53425473.44,3157601440,176202009.53,97075685.99,80363713.97,7447386.72,591297733.34,3440167.59,14465575.5
1649894400,558964853.4,43980751.89,2747930242.23,142740781.73,81715066.42,112019576.32,5049486.52,435994135.77,1980801.82,8841695.24
1649980800,332201206.9,31217004.55,1941689326.9,87849189.07,60104436.38,90712174.31,4298534.23,345117497.07,1985186.99,6393243.18
1650067200,215420739.81,14841434.65,1317311731.09,49114513.32,25100334.5,18888364.23,1892390.97,240725460.61,1146340.57,2599664.52
1650153600,253431126.97,15841132.18,1663196639.62,69837270.74,31110754.86,32532384.75,3404847.25,364430575.98,1399404.52,3713224.25
1650240000,680310075.45,75406540.13,4087949866.5,209706661.43,138340005.16,87862474.6,6408964.15,790219484.68,3972953.77,17198176.15
1650326400,522273611.01,34342848.88,2968065928.32,124795135.15,93892174.26,81145330.64,4307330.78,450470514.76,1958179.48,7419333.69
1650412800,732478578.64,36531951.53,3375185901.18,148540816.53,109163895.93,119411328.87,5057309.03,592996895,2071663.77,9025618.85
1650499200,888478373.05,50507221.25,4327157803.91,256529730.62,136974877.86,78303057.42,9230726.43,771633580.92,3224700.85,7900598.07
1650585600,826442735.99,48973848.92,3503230754.48,156540374.5,127227951.18,51218202.34,8685897.95,724120316.34,3077198.78,10367077.92
1650672000,328705634.77,21536316.24,1646525673.1,59442315.57,27926957.84,22447912.61,2231852.98,308129827.9,1160500.44,2835770.78
1650758400,331818106.23,19638805.64,1955569758.83,90154356.37,52816906.43,40466335.03,4473895.23,418040044.45,1876620.66,5476732.9
1650844800,1060401983.21,70177698.46,4508833218.15,318374704.34,141983815.85,94199607.22,8566688.61,1044808062.38,4900623.05,16025389.18
1650931200,1058064417.49,56869621.18,4268445176.5,322085846.72,163877713.65,44261532.09,5805659.67,973567312.03,3981361.39,12994980.6
1651017600,1035273340.04,36259464.47,3742683191.56,245067756.62,104636910.67,70479000.42,5017980.79,605307671.44,3005921.22,10227904.06
1651104000,859623323.53,51537538.36,3985353262.23,206703867.47,125446236.03,52753085.72,6458539.38,747695182.49,4491721.75,8961581.14
1651190400,736410522.69,37802266.61,3718652670.09,166037351.69,101637106.49,44848413.35,4338376.27,541372316.26,3243458.25,7506575.79
1651276800,340547684.86,16397761.12,2670095638.92,92166765.24,46038202.46,36795848.55,3996184.8,354640505.02,1907732.09,4243546.15
1651363200,381168505.11,24727203.77,2942286355.9,110862406.93,69799833.37,70577909.68,4018521.75,427621046.51,2428891.05,5910224.6
1651449600,819346186.64,40763710.3,3613331036.86,166408169,89691408.47,79417677.92,3695708.44,772235532.28,3750396.91,8558746.21
1651536000,761349852.17,51987082.66,2771398841.98,132386658,73715392.52,113845010.99,2791300.87,500764807.85,1733103.96,9211783.29
1651622400,1007751944.54,54913442.62,4339769412.21,215727016.89,154219516.98,71512071.26,5416745.47,925603196.18,3214097.01,12296103.47
1651708800,1227732190.32,91844451.99,5525387098.3,360723721.17,196933486.05,60276005.26,4741224.15,1281903773.55,9087742.21,26951116.44
1651795200,1181924171.66,67357219.44,4307861700.3,190869701.75,139325505.3,74700716.31,1592717.43,1008911414.26,5981962.93,15451483.7
1651881600,477448198.27,25758449.69,2447511691.77,91873411.82,60665118.02,41089306.32,369943.86,398861907.21,1811057.86,5413310.83
1651968000,882715173.92,51536316.9,4296939076.75,219889465.27,126978634.52,78475407.2,12289934.68,881136687.66,3513986.75,21321816.57
1652054400,1948246536.72,175143804.08,9010930662.39,635880405.96,315973474.49,169347684.68,1854842.42,2127195068.65,8691923.33,38906274.76
1652140800,2052912548.01,140539364.72,8768491692.02,525810392.38,294751173.53,231436028.26,1754102.07,1755082702.05,5415821.15,28433448.68
1652227200,2494458073.86,223322541.77,10691643184.05,790714619.92,430975499.98,187016498.79,9889935.68,2256886921.29,16781813.23,57931699.08
1652313600,2500324091.5,251726957.09,11152304239.17,769162778.52,618667733.05,991522062.9,35789564.96,2516862148.39,20086304.9,52550562.06
1652400000,929149484.31,83986472.59,5465582948.25,265428416.67,232797912.7,187797430.53,3987240.12,1114864975.4,8126553.36,10421102.72
1652486400,579947543.76,32095233.6,3184921471.26,161579014.35,121654773.49,48278828.05,1642850.45,747224998.4,3948310.23,3204264.56
1652572800,613490446.22,38702021.47,2949993548.84,110372617.06,95114824.55,58498688.81,1544463.03,646660567.29,4152993.8,4452184.61
1652659200,816814018.25,53285593.3,4223195976.51,201568019.05,137641718.27,125453287.79,1680802.7,1024044787.83,4265413.57,7571817.76
1652745600,719153167.72,54785137.09,3349784770.46,167598659.76,100968654.84,75529700.19,2798872.04,866966278.03,3353658.24,5167663.11
1652832000,918632701.15,55616262.64,3555021172.69,192223352.98,99735795.29,78308429.38,1280281.17,1107782060.63,3655366.15,5831786.8
1652918400,998860032.18,55029625.48,4144363611.69,195019776.85,120300482.87,197356978.66,572641.7,1114327128.42,3876157.44,6126448.53
1653004800,1090410058.82,47044708.29,3621991337.87,182972675.38,100487303.24,277779579.25,486199.72,1030695574.97,3424689.33,6687506.53
1653091200,346499456.61,11389301.32,1416757616.16,54657470.26,22366558.45,50451149.09,210492.52,485889799.4,1402009.02,1588767.09
1653177600,418860194.74,27922439.24,2310380438.24,104197831.97,56052188.87,54381902.7,410081.13,581758340.95,2069472.15,2226543.82
1653264000,845918238.95,38695368.73,3761453266.02,177623038.36,94615461.04,47172092.48,501264.72,975117767.57,3690285.31,6288778.83
1653350400,601903650.5,49384108.03,3042780946.62,145865773.14,66233532.27,44828487.85,176209.91,827162253.72,3127451.78,5431484.47
1653436800,591873338.67,32385916.49,3118582695.28,151688147.18,71398505.17,53857609.16,292485.97,857285178.1,2581973.63,5167193.16
1653523200,969789635.78,78783830.94,4981720907.3,256521475.19,113274378.22,93752385.2,463516.71,1126187706.04,5141007.49,9885632.3
1653609600,732480285.71,50589534.69,4711342627.8,213148769.29,94285682.98,72119606.53,429245.92,1250828625.94,4029363.8,6098380.62
1653696000,275914318.27,18254152.53,1950598190.56,62978509.03,36525423.05,14557538.68,231179.81,452566387.16,1415279.99,2738296.96
1653782400,234893020.62,20891939.35,1658388803.78,67515997.53,41408657.29,36261585.58,95837.56,353675042.3,1127725.89,2074909.6
1653868800,940579000.48,76890727.09,5114359284.12,320801020.73,158632796.26,214470804.72,507462.56,934144375.22,5399401.64,6665520.73
1653955200,826165171.98,51395884.4,3832973944.49,189900312.93,85466677.74,178334467.08,123314.78,885736381.4,2720870.72,5424579.07
1654041600,978282657.7,57704799.63,5323474207.32,246856418.9,122998196.86,270660378.59,538893.5,1232779805.97,4165476.97,6338328.94
1654128000,685522079.74,37220057.58,3478727973.74,124491694.38,68684894.32,91959035.42,56435.07,851468897.42,2349330.64,5229528.43
1654214400,558160004.92,40791713.91,3082310433.51,126040361.98,63910589.99,101316968.88,379017.43,703217425.52,2001936.24,5647864.29
1654300800,228220028.83,11519459.92,1525516194.08,41483426.47,20270154.65,55838206.99,50707.47,280376198.94,943714.08,1838481.57
1654387200,205725955.01,17662483.4,1517148305.95,54160045.85,26224046.05,22725692.77,56447.24,316692608.81,1484729.71,3095628.57
1654473600,761088240.01,56266239.44,4021361514.34,176554702.87,121212459.33,93687289.4,300525.98,946366505.09,2922799.37,7158381.51
1654560000,865786179.17,84699561.55,6208870212.08,277789660.05,156823131.52,196148383.52,236262.63,1180539087.16,5845897.83,7100634.7
1654646400,583136845,62613753.55,4191040502.39,144503657.89,89897004.42,128311944.82,180803.54,804423288.42,3619693.47,5318141.8
1654732800,467489790.09,23537493.91,2879161776.73,104866421.38,58052854.29,70229525.92,76410.67,514544923.18,1820017.87,3933043.58
1654819200,801941400.19,70943010.32,4292606439.49,202474358.19,111491424.08,55495732.57,245212.42,844750093.41,7055525.15,6055607.28
1654905600,453051972.8,52320978.39,3745170478.08,122439895.84,69520467.01,43545219.24,356855.89,534490915.49,4110798.15,6723766.81
1654992000,586259575.45,67996615.88,4921199107.8,174050630.42,105948728.64,63447520.29,536532.72,889401893.31,6045165.77,5512887.02
1655078400,2155368397.46,285763120.26,10158331022.85,649588948.72,363622910.01,533026564.23,3455456.39,3379655676.34,13351495.2,26822314.54
1655164800,1276095026.94,148166094.59,7430164535.68,396273601.65,242375973.85,262606319.78,2080232.7,2786108405.41,4652820.31,23559824.17
1655251200,1666440628.18,204337001.14,8168813922.71,580658210.95,390396981.98,314100898.85,1751178.25,2845020372.86,12307668.87,30295158.02
1655337600,903324223.59,91435795.54,4040865768.15,255235954.28,129156738.5,215866644.03,275644.66,1293637674.04,2084142.55,8943884.88
1655424000,612365252.65,96551010.05,3322936039.16,205314177.58,104750680.31,181695506.63,576189.73,763246255.01,1822148.95,10075760.37
1655510400,1161770237.41,126290082.78,6168737048.13,414066584.72,196448101.9,276126461.71,1098209.24,1978518157.49,9984151.19,18015446
1655596800,737847323.17,77554446.08,4839312138.7,304139709.23,142496249.17,174156213.15,305424.71,1182774259.71,5445850.06,10120739.09
