time,coinbase,gemini,binance,kraken,bitstamp,lmax,crosstower,ftx,cexio,itbit
1647734400,390629228.33,21599867.76,1647595365.92,83900135.52,23211238.02,13865537.96,111603.99,394258626.41,4743375.83,5063422.75
1647820800,560132259.89,21898562.41,2070971763.37,115276307.98,53689936.03,47210335.54,771625.32,493944866.75,5397683.29,7196226.99
1647907200,693108051.8,47688642.58,2654461661.61,202289164.85,58940561.78,61167636.56,812850.51,620656287.15,8120876.68,20183951.19
1647993600,765622806.42,30509534.55,2232039895.11,130748957.63,29866402.09,22717291.91,1139961.94,509438992.99,5161363.23,7743761.01
1648080000,928148546.34,78114657.16,2876858095.75,156603811.93,70613703.21,110750077.79,754716.11,682664261.05,8201101.66,14942498.75
1648166400,806944240.28,43552458,2533198532.41,132566282.38,65612629.37,78806085.42,611329.45,686678580.36,5677960.59,9916925.23
1648252800,250808839.15,10341388.11,1059501202.58,46566312.57,10624677.2,9435842.95,198792.33,208046439.86,2032465.61,1365667.22
1648339200,483524242.78,22402721.88,1836531351.39,105163414.83,24648802.49,22852406.42,205074.89,402732793.39,4415340.12,7725205.73
1648425600,921042506.26,57602123.22,2808515765.53,254323956.78,100952995.83,50942836.5,430662.15,689622631.25,5882134.3,13765353.62
1648512000,613211049.93,73942551.14,2711203310.78,241319131.58,67276486.49,99543560.57,417281.41,654467110.54,5892706.26,8008766.64
1648598400,550906802.74,25485281.09,2000301169,134878258.55,35220311.19,65077603.34,176461.54,426342368.14,6554957.91,3700516.08
1648684800,734774265.25,29455430.68,2606595983.6,192284942.24,63195453.18,51435131.78,257521.63,581759892.26,6272110.72,7852657.13
1648771200,901332975.17,45714058.16,3092751998.39,221504485.97,79450834,85887425.24,402020.73,663385132.99,7351011.31,11861995.95
1648857600,498542282.39,23831709.61,2758822011.96,140528684.75,25969318.97,71399360.25,680460.86,436895278,6407329.41,5403363.26
1648944000,451808938.69,40391545.62,2172146987.59,125763150.61,24134486.91,44050381.74,1289388.14,404414409.52,4426527.98,5013204.22
1649030400,673738764.89,34017841.4,2786404022.18,202633260.41,43898093.53,44375373.38,1378238.78,463522161.61,6133325.68,6588233.04
1649116800,702017941.92,38977563.46,2263391464.16,219404523.62,42707327.97,57122683.53,80128.28,394467302.51,5891089.56,8115206.79
1649203200,1202757649.01,59535250.18,3750668084.15,228050353.51,100542483.17,79700136.99,1145938.28,933251445.36,11397638.59,17616102.46
