Time,BTC-USD,ETH-USD,USDT-USD,USDC-USD,BNB-USD,SAITAMA-USD,XRP-USD,SOL-USD,BUSD-USD,ADA-USD,DOGE-USD,BTC-INR,ETH-INR,USDT-INR,USDC-INR,BNB-INR,SAITAMA-INR,XRP-INR,SOL-INR,BUSD-INR,ADA-INR,DOGE-INR,BTC-EUR,ETH-EUR,USDT-EUR,USDC-EUR,BNB-EUR,SAITAMA-EUR,XRP-EUR,SOL-EUR,BUSD-EUR,ADA-EUR,DOGE-EUR
1654027200,31781.24,1951.16,0.9994,1,319.86,4e-09,0.4194,45.78,1.001,0.6037,0.08635,2777006.39,170452.65,87.33,87.42,28019.99,-1,36.63,4007.22,87.46,52.85,7.581,29616.66,1817.87,0.9314,0.9323,298.83,4e-09,0.3906,42.67,0.9327,0.5618,0.0804
1654030800,31810.4,1952.35,0.9994,1.004,319.08,4e-09,0.4211,45.8,1.004,0.6129,0.08645,2777006.39,170674.81,87.56,87.67,27964.45,-1,36.82,4001.67,386.84,53.46,7.581,29635.73,1814.28,0.9344,0.9352,297.26,4e-09,0.3923,42.67,0.9357,0.5686,0.08048
1654034400,31872.17,1958.1,1,1.001,322.06,4e-09,0.4245,46.16,1.001,0.6398,0.08647,2825976.37,157629.4,88.67,88.73,25942.26,-1,37.62,3715.57,88.74,51.4,6.98,29692.17,1822.9,0.932,0.9323,300.01,4e-09,0.395,42.98,0.9328,0.5955,0.08043
1654038000,31914.61,1956.88,1.004,1.004,322.53,4e-09,0.425,46.18,1.008,0.6401,0.08638,2787031.02,167517.09,87.66,87.71,27601.32,-1,37.14,3952.01,87.71,55.45,7.391,29731.52,1818.56,0.9351,0.9357,298.85,4e-09,0.3956,43.01,0.9357,0.5958,0.08049
1654041600,31956.43,1956.77,1.001,1.001,324.29,4e-09,0.426,46.1,1.001,0.6306,0.08703,2727403,157386.8,85.4,85.46,26085.5,-1,36.26,3718.79,85.46,50.71,7.016,29779.22,1822.17,0.9325,0.9331,302.01,4e-09,0.3965,42.92,0.9331,0.5871,0.08092
1654045200,31929.69,1953.59,1,1.001,324.32,4e-09,0.4253,46.01,1.003,0.6289,0.08687,2798392.6,157992.53,87.67,87.73,26207.29,-1,37.25,3718.08,87.71,50.87,7.023,29765.8,1821.11,0.9328,0.9332,302.08,4e-09,0.3965,42.87,0.933,0.5859,0.08093
1654048800,31905.91,1946.51,1.003,1.004,322.93,4e-09,0.4237,45.92,1.004,0.6212,0.08665,2581999.22,156847.81,81.17,81.24,26008.52,-1,34.14,3695.68,81.24,50.04,6.99,29773.08,1810.33,0.933,0.9368,300.19,4e-09,0.3957,42.82,0.9367,0.5795,0.08085
1654052400,31790.63,1939.66,1.005,1,321.13,4e-09,0.419,45.57,1.006,0.6114,0.08609,2772017,157812.42,87.64,87.67,26095.37,-1,36.67,3702.44,87.72,49.68,7.002,29663.03,1801.11,0.9379,0.9381,297.83,4e-09,0.3909,42.49,0.9387,0.57,0.08037
1654056000,31647.73,1934.57,1.003,1.003,320.71,4e-09,0.4185,44.96,1.003,0.605,0.08588,2910003.3,158193.63,92.18,92.25,26232.21,-1,38.61,3666.31,92.26,49.42,7.023,29524.09,1804.46,0.9353,0.9359,299.22,4e-09,0.3908,41.93,0.936,0.5645,0.08011
1654059600,31604.63,1935.72,0.9995,1.001,320.78,4e-09,0.4199,44.87,1,0.6047,0.08588,2910004.29,164532.5,92.03,92.13,27274.44,-1,38.63,3809.29,92.1,51.46,7.329,29513.6,1808.73,0.9334,0.9344,299.83,4e-09,0.3918,41.88,0.9341,0.5638,0.08009
