Time,Volume (in USD),Volume (in INR),Volume (in EUR)
1654027200,813310438.95,71074090604.25,758002280.37
1654030800,625221139.31,54795223605.95,582474649.08
1654034400,904716860.12,72886390605.21,842892675.63
1654038000,847036198.63,72688862847.93,789108243.78
1654041600,1435755126.93,115591198400,1338273066.35
1654045200,854947351.67,69193112237.35,797557516.55
1654048800,922443681.59,74572615992.47,860715826.84
1654052400,1012870994.97,82813279717.23,945147260.55
1654056000,1356504570.83,111038137842,1266576026.26
1654059600,904692116.18,76844728957.68,844763633.46
1654063200,889483993.3,77638406633.57,829950651.43
1654066800,1016697271.7,87179639669.46,948820698.5
1654070400,1031105732.26,87664256784.51,962157378.73
1654074000,904312133.41,76394900275.37,843491948.81
1654077600,945817682.88,80582948741.76,882970563.96
1654081200,1241285616.25,101834755485.76,1159549795.14
1654084800,1324429065.19,108236286616.12,1235711882.26
1654088400,1915978897.48,157008808116.3,1789969090.71
1654092000,2926105992.56,254529586363.72,2743108901.82
1654095600,2565255595.98,222300678918.42,2410157118.22
1654099200,2873668981.56,234817255307.14,2701328911.14
1654102800,2230678233.28,192330734218.04,2094232817.51
1654106400,1730620866.52,149106363730.9,1624310753.73
1654110000,1675742469.43,144457574721.44,1573268722.77
1654113600,2783231082.72,251620117287.7,2612964505.6
1654117200,830737343.38,69467598807.46,779956360.98
1654120800,943155541.32,82253892803.89,885599003.21
1654124400,1256172669.46,110902444277.11,1179397045.93
1654128000,1433001777.38,126947388210.05,1345003156.17
1654131600,983629665.86,78887757700,923297365.01
1654135200,879175494.45,77215243678.12,825584926.07
1654138800,1036598291.32,90487439711.77,973405771.61
1654142400,818694006.55,70644438056.4,768504845.88
1654146000,861803266.86,74054091245.68,808521726.9
1654149600,763427320.46,64932790539.56,715142802.88
1654153200,1186950996.95,100531280100.96,1111117984.67
1654156800,926871100.52,78031161272.63,867545450.75
1654160400,803456561.15,67462348664.2,752076486.76
1654164000,951763306.02,79413805448.51,890127696
1654167600,985230852.1,82218516315.26,921751388.67
1654171200,941301055.01,78965612343.28,879525389.68
1654174800,2523655693.19,203942534528.22,2359862320.11
1654178400,1680475365.35,141399827921.52,1568687171.63
1654182000,1568244694.13,130948504680,1461779560.21
1654185600,1209387859.77,104246785805.88,1125913002.12
1654189200,940444863.43,81313153093.42,875442328.75
1654192800,1036730117.42,87724405990.36,965350615.32
1654196400,834127396.23,70055696779.65,776179231.66
1654200000,693361172.79,56302322759.08,645472205.75
1654203600,434247489.39,35155228625.34,404181839.04
1654207200,1162119234.21,97782914111.36,1081656256.31
1654210800,740053763.69,68394730112.38,688664622.58
1654214400,843177872.24,68821427710.01,783939456.26
1654218000,864756569.71,73447826570.97,803652442.72
1654221600,643609145.31,54179961454.62,598455514.7
1654225200,554543523.56,44986706552.97,515877566.39
1654228800,640097153.58,53844358799.48,595886319.96
1654232400,575117793.64,48447272585.1,534979776.95
1654236000,596554149.15,50354726456.35,554825163.73
1654239600,885116788.32,74222747828.65,823080923.99
1654243200,777727215.42,65435090973.95,723356773.22
1654246800,1279329266.8,108110376040.72,1190828419.23
1654250400,1690930149.14,143533533618.33,1575505154.09
1654254000,1375391904.24,111246362018.59,1282527791.55
1654257600,1830030445.56,148654506009.98,1709257208.34
1654261200,1774554289.23,149350125000,1651567448.3
1654264800,1525233671.5,128698290245.17,1423108988.77
1654268400,1033330306.8,87104245919.6,965081083.36
1654272000,853612284.87,66734184874.59,796076517.3
1654275600,820084438.92,69107541788.44,765365440.94
1654279200,601393825.15,48560479836.76,561266627.27
1654282800,670514547.03,56711365457.45,625787918.31
1654286400,571702226.19,44651893220.18,533613249.83
1654290000,563173175.14,46931248440.96,525678366.77
1654293600,605854799.86,50553721320.8,565751888.25
1654297200,478426847,39957116306.48,446771687.11
1654300800,533810272.55,44555967129.63,498378221.5
1654304400,796049148.02,71213591767.66,743284648.17
1654308000,851703016.4,75833103834.45,795106980.87
1654311600,489922056.14,41032071284.11,457449195.75
1654315200,653985194.17,54377811416.08,610593804.31
1654318800,414282524.82,33265720589.42,386830376.4
1654322400,468158073.18,38939766647.82,437204324.47
1654326000,443491729.25,36792929629.17,414153607.44
1654329600,519848202.31,43455868886.62,485612188.88
1654333200,522377369.98,43809669791.33,487972232.81
1654336800,491399488.44,39596916569.78,458992907.93
1654340400,461384138.45,38767679971.75,431050011.7
