Coin,USD_TYPE,USD_MARKET,USD_FROMSYMBOL,USD_TOSYMBOL,USD_FLAGS,USD_PRICE,USD_LASTUPDATE,USD_MEDIAN,USD_LASTVOLUME,USD_LASTVOLUMETO,USD_LASTTRADEID,USD_VOLUMEDAY,USD_VOLUMEDAYTO,USD_VOLUME24HOUR,USD_VOLUME24HOURTO,USD_OPENDAY,USD_HIGHDAY,USD_LOWDAY,USD_OPEN24HOUR,USD_HIGH24HOUR,USD_LOW24HOUR,USD_LASTMARKET,USD_VOLUMEHOUR,USD_VOLUMEHOURTO,USD_OPENHOUR,USD_HIGHHOUR,USD_LOWHOUR,USD_TOPTIERVOLUME24HOUR,USD_TOPTIERVOLUME24HOURTO,USD_CHANGE24HOUR,USD_CHANGEPCT24HOUR,USD_CHANGEDAY,USD_CHANGEPCTDAY,USD_CHANGEHOUR,USD_CHANGEPCTHOUR,USD_CONVERSIONTYPE,USD_CONVERSIONSYMBOL,USD_SUPPLY,USD_MKTCAP,USD_MKTCAPPENALTY,USD_CIRCULATINGSUPPLY,USD_CIRCULATINGSUPPLYMKTCAP,USD_TOTALVOLUME24H,USD_TOTALVOLUME24HTO,USD_TOTALTOPTIERVOLUME24H,USD_TOTALTOPTIERVOLUME24HTO,USD_IMAGEURL,INR_TYPE,INR_MARKET,INR_FROMSYMBOL,INR_TOSYMBOL,INR_FLAGS,INR_PRICE,INR_LASTUPDATE,INR_MEDIAN,INR_LASTVOLUME,INR_LASTVOLUMETO,INR_LASTTRADEID,INR_VOLUMEDAY,INR_VOLUMEDAYTO,INR_VOLUME24HOUR,INR_VOLUME24HOURTO,INR_OPENDAY,INR_HIGHDAY,INR_LOWDAY,INR_OPEN24HOUR,INR_HIGH24HOUR,INR_LOW24HOUR,INR_LASTMARKET,INR_VOLUMEHOUR,INR_VOLUMEHOURTO,INR_OPENHOUR,INR_HIGHHOUR,INR_LOWHOUR,INR_TOPTIERVOLUME24HOUR,INR_TOPTIERVOLUME24HOURTO,INR_CHANGE24HOUR,INR_CHANGEPCT24HOUR,INR_CHANGEDAY,INR_CHANGEPCTDAY,INR_CHANGEHOUR,INR_CHANGEPCTHOUR,INR_CONVERSIONTYPE,INR_CONVERSIONSYMBOL,INR_SUPPLY,INR_MKTCAP,INR_MKTCAPPENALTY,INR_CIRCULATINGSUPPLY,INR_CIRCULATINGSUPPLYMKTCAP,INR_TOTALVOLUME24H,INR_TOTALVOLUME24HTO,INR_TOTALTOPTIERVOLUME24H,INR_TOTALTOPTIERVOLUME24HTO,INR_IMAGEURL,EUR_TYPE,EUR_MARKET,EUR_FROMSYMBOL,EUR_TOSYMBOL,EUR_FLAGS,EUR_PRICE,EUR_LASTUPDATE,EUR_MEDIAN,EUR_LASTVOLUME,EUR_LASTVOLUMETO,EUR_LASTTRADEID,EUR_VOLUMEDAY,EUR_VOLUMEDAYTO,EUR_VOLUME24HOUR,EUR_VOLUME24HOURTO,EUR_OPENDAY,EUR_HIGHDAY,EUR_LOWDAY,EUR_OPEN24HOUR,EUR_HIGH24HOUR,EUR_LOW24HOUR,EUR_LASTMARKET,EUR_VOLUMEHOUR,EUR_VOLUMEHOURTO,EUR_OPENHOUR,EUR_HIGHHOUR,EUR_LOWHOUR,EUR_TOPTIERVOLUME24HOUR,EUR_TOPTIERVOLUME24HOURTO,EUR_CHANGE24HOUR,EUR_CHANGEPCT24HOUR,EUR_CHANGEDAY,EUR_CHANGEPCTDAY,EUR_CHANGEHOUR,EUR_CHANGEPCTHOUR,EUR_CONVERSIONTYPE,EUR_CONVERSIONSYMBOL,EUR_SUPPLY,EUR_MKTCAP,EUR_MKTCAPPENALTY,EUR_CIRCULATINGSUPPLY,EUR_CIRCULATINGSUPPLYMKTCAP,EUR_TOTALVOLUME24H,EUR_TOTALVOLUME24HTO,EUR_TOTALTOPTIERVOLUME24H,EUR_TOTALTOPTIERVOLUME24HTO,EUR_IMAGEURL
BTC,5,CCCAGG,BTC,USD,2052,21408.97,1656325049,21409.8,0.00160312,34.3174447792,365985987,9617.131805415582,203978497.79746005,25289.510345920004,538950884.2605898,21031.89,21505.42,20919.56,21405.12,21887.39,20916.95,Coinbase,340.28397076999676,7286692.511190932,21447,21458.92,21387.69,25289.510345920004,538950884.2605898,3.850000000002183,0.0179863509291337,377.08000000000175,1.7928964063619663,-38.029999999998836,-0.1773208374131526,direct,,19078362,408448079707.14,0,19078362,408448079707.14,253707.3965014566,5429142556.427888,252720.6597915522,5408017539.807646,/media/37746251/btc.png,5,CCCAGG,BTC,INR,2052,1859831.91,1656321627,1859831.91,0.00537683,10000.0000086453,56067556,0.77369377,1414746.6708749824,1.68608465,3090386.49979225,1849119.26,2520999.93,1651982.38,1959801.21,2520999.93,1560500.99,LocalBitcoins,0,0,1859831.91,1859831.91,1859831.91,0,0,-99969.30000000005,-5.100991850086675,10712.649999999907,0.5793379708780875,0,0,direct,,19078362,35482546438131.42,0,19078362,35482546438131.42,253707.4813479766,471853224169.1615,252720.7446380722,470018105196.8481,/media/37746251/btc.png,5,CCCAGG,BTC,EUR,2050,20257.5,1656325057,20265.125,0.05,1012.2406,2530909,2264.424367309967,45560553.820653625,5231.9984988999995,105667483.53670487,19911.65,20327.21,19814.43,20308.25,20758.18,19812.84,lmax,92.62800264000009,1877045.2264613078,20292.39,20298.09,20239.47,5231.98324618,105667179.05681974,-50.75,-0.24989844028904512,345.84999999999854,1.7369228567195514,-34.88999999999942,-0.1719363761488884,direct,,19078362,386479918215,0,19078362,386479918215,253718.22421075666,5139377200.894641,252731.48749479227,5119388386.373083,/media/37746251/btc.png
ETH,5,CCCAGG,ETH,USD,513,1230.06,1656325047,1230.02,0.00665585,8.1859633565,307469675,112444.87809196445,136885726.05435315,411626.40984254004,504336519.96285284,1198.25,1235.46,1195.93,1243.22,1280.26,1194.55,Coinbase,1573.3518594099562,1936564.2625878127,1233.05,1234.17,1228.94,411626.40984254004,504336519.96285284,-13.160000000000082,-1.058541529254684,31.809999999999945,2.6547047778009554,-2.990000000000009,-0.24248813916710668,direct,,121319499.1865,149230263169.3462,0,121319499.1865,149230263169.3462,3531326.032731376,4341754238.093494,3522172.3312824485,4330494636.089227,/media/37746238/eth.png,5,CCCAGG,ETH,INR,2052,106828.7449104,1656325049,106828.7449104,1.1592,123835.8811001357,16563250498140.998,208185.68712141542,22240215663.49004,308890.5251655,32998387118.14469,105288.8506644,145890.2659491,94014.3172458,113864.450301,148890.2558658,88776.9013211,BitMart,3142.3839813799955,335696936.7573707,106921.7365059,106996.1297823,106772.9499531,306928.37620086,32788773206.92496,-7035.705390600007,-6.179018448691546,1539.8942459999962,1.4625425543947563,-92.99159550000331,-0.08697164724300188,multiply,BTC,121319499.1865,12960409831252.088,0,121319499.1865,12960409831252.088,3531450.601218502,377260435441.25006,3522295.403312644,376282397139.561,/media/37746238/eth.png,5,CCCAGG,ETH,EUR,2052,1163.64,1656325043,1163.543,2.03203573,2363.3997964911,238954902,27341.56288835995,31533360.301154654,70324.91121410999,81773118.93310015,1133.93,1167.8,1132.2,1179.79,1213.62,1130.53,Bitstamp,1104.5190908999984,1285684.395398019,1166.57,1167.28,1162.45,70324.91121410999,81773118.93310015,-16.149999999999864,-1.3688876834012718,29.710000000000036,2.6200911872866963,-2.9299999999998363,-0.2511636678467504,direct,,121319499.1865,141172222033.37888,0,121319499.1865,141172222033.37888,3531439.6056999206,4109264622.024569,3522284.4077940625,4098611267.5333967,/media/37746238/eth.png
USDT,5,CCCAGG,USDT,USD,2052,0.9994,1656325048,0.9993,0.08,0.079936,4384172362,236554358.85541144,236334456.92247728,170738391.0957667,170643837.5349517,0.9997,0.9998,0.9994,0.9994,1,0.9988,ftx,5379881.349846249,5375899.419899771,0.9995,0.9995,0.9994,170738391.0957667,170643837.5349517,0,0,-0.000300000000000078,-0.030009002700818046,-0.00010000000000010001,-0.010005002501260631,direct,,66867260244.086044,66827139887.93959,0,66867260244.086044,66827139887.93959,562588485.608642,562258821.9911193,539689219.0961701,539373295.0385549,/media/37746338/usdt.png,5,CCCAGG,USDT,INR,2052,86.81914497820222,1656325051,86.81112113626423,69.702092795,6051.47609965321,352219982,1269745420.8082967,110238211774.5639,3444259290.8026347,299027646710.7139,87.8765824724851,78.92798127112671,117.2028241185845,91.50466721139256,74.56935638634404,115.2028424622792,OKEX,29857308.23163392,2592185972.021096,86.6826178652243,86.90937336884167,86.6355360778784,3440602206.6964107,298710141795.4982,-4.685522233190341,-5.120528139144996,-1.0574374942828797,-1.203321140320827,0.13652711297791598,0.15750229554694667,invert_divide,BTC,66867260244.086044,5805358361426.483,0,66867260244.086044,5805358361426.483,0,0,0,0,/media/37746338/usdt.png,5,CCCAGG,USDT,EUR,2052,0.9446,1656325051,0.94533,16.16068672,15.275081087744,1656325051.874905,36466961.54351866,34469496.61915088,64239070.63839497,60749957.546575375,0.9469,0.9478,0.9432,0.9483,0.9498,0.9426,Kraken,1619459.3076332982,1530513.3855563947,0.9459,0.9459,0.9443,64239070.63839497,60749957.546575375,-0.0037000000000000366,-0.39017188653380114,-0.0022999999999999687,-0.2428978772837648,-0.0012999999999999678,-0.13743524685484385,direct,,66867260244.086044,63162814026.563675,0,66867260244.086044,63162814026.563675,562619837.9352019,531520430.3351392,539720571.42273,509889783.1874582,/media/37746338/usdt.png
USDC,5,CCCAGG,USDC,USD,2052,1,1656325053,0.99994,3.92933273,3.932476196184,1150293097,5757604.907245084,5757484.088814246,12815896.63610189,12816181.94724136,1,1,0.9999,0.9999,1,0.9998,Bitfinex,219171.61914467002,219156.37644094072,1,1,1,12815896.63610189,12816181.94724136,9.999999999998899e-05,0.0100010001000089,0,0,0,0,direct,,55826806550.27094,55826806550.27095,0,55826806550.27094,55826806550.27094,204671456.45010635,204671741.76124582,203143760.7424109,203144046.05355036,/media/34835941/usdc.png,5,CCCAGG,USDC,INR,2049,86.87843767240038,1656325045,86.86439802435692,2.81376461128572,244.4554734063923,8142035,39230427.93679797,3408278288.368697,123805798.71603498,10756054367.23279,87.94909935276681,78.97616634508555,117.2276760554211,91.5721785782538,74.59858719304889,115.2727968994772,Poloniex,1203118.5853602213,104525063.0307245,86.72481687052726,86.9387867577456,86.69837705548498,123805798.71603498,10756054367.23279,-4.693740905853417,-5.125728118221344,-1.0706616803664275,-1.2173651444365192,0.15362080187311733,0.17713591958627026,invert_divide,BTC,55826806550.27094,4850145733326.867,0,55826806550.27094,4850145733326.867,0,0,0,0,/media/34835941/usdc.png,5,CCCAGG,USDC,EUR,1026,0.9459,1656325026,0.9459,1991.5339,1883.79191601,1656325026.3495822,5780165.062773075,5465581.289344666,9363156.8035645,8861885.428831642,0.9466,0.9476,0.9444,0.9486,0.9493,0.9444,Kraken,271208.8971671102,256472.1440484453,0.9461,0.9462,0.9454,9363156.8035645,8861885.428831642,-0.0027000000000000357,-0.2846299810246717,-0.0007000000000000339,-0.07394886963871054,-0.000200000000000089,-0.021139414438229465,direct,,55826806550.27094,52806576315.901276,0,55826806550.27094,52806576315.90128,204671456.45010635,193604006.0644956,203143760.7424109,192158958.69458646,/media/34835941/usdc.png
BNB,5,CCCAGG,BNB,USD,1028,239.53,1656325039,239.6925,0.01,2.39542,4384171373,59960.511013301344,14204509.722573863,148369.2813367,35325757.308504865,233.73,240.69,233.02,239.66,245.19,233.01,ftx,790.1949695999971,189222.23545700122,239.64,240,239.12,148369.2813367,35325757.308504865,-0.12999999999999545,-0.05424351164149022,5.800000000000011,2.4814957429512736,-0.10999999999998522,-0.04590218661324705,direct,,163276974.63,39109733733.1239,0,163276974.63,39109733733.1239,1398472.7571802142,334763042.8773018,1398464.9413532189,334761170.75226164,/media/37746880/bnb.png,5,CCCAGG,BNB,INR,2052,20811.5190729,1656325057,20814.680787147,0.046,957.3298773534,145262814,27641.491651638815,575261430.7114873,61941.523738380005,1289097202.685783,20562.2061712,28462.0892097,18370.0440656,21930.1755399,28487.299209,17337.1659989,Binance,571.2079683000001,11887705.52686791,20792.9207538,20811.5190729,20792.9207538,61941.523738380005,1289097202.685783,-1118.6564670000007,-5.100991850086676,249.3129016999992,1.2124812854429687,18.598319099997752,0.08944543828263678,multiply,BTC,163276974.63,3398041871677.6543,0,163276974.63,3398041871677.6543,1398489.2707309138,29104686131.062424,1398481.4549039186,29104523471.829838,/media/37746880/bnb.png,5,CCCAGG,BNB,EUR,2052,226.7,1656325046,226.7,0.223,50.5541,22771257,2514.251000000004,565858.6873000006,7657.667,1734474.3397,221.5,227.7,220.9,227.5,232.7,220.7,Binance,101.46100000000001,23018.054200000006,227,227.3,226.4,7657.667,1734474.3397,-0.8000000000000114,-0.3516483516483566,5.199999999999989,2.347629796839724,-0.30000000000001137,-0.13215859030837504,direct,,163276974.63,37014890148.620995,0,163276974.63,37014890148.620995,1398494.890730914,317037272.95949817,1398487.0749039187,317035501.1115183,/media/37746880/bnb.png
SAITAMA,5,CCCAGG,SAITAMA,USD,0,3.28180008e-09,1656325047,3.28169336e-09,382308846,1.254661201387508,16544932230001,0,0,0,0,3.196931e-09,3.29620728e-09,3.19074124e-09,3.31691096e-09,3.41573368e-09,3.1870594e-09,bilaxy,0,0,3.2897774e-09,3.29276556e-09,3.27881192e-09,0,0,-3.511088000000009e-11,-1.05854152925468,8.486907999999997e-11,2.654704777800959,-7.97732000000027e-12,-0.24248813916711415,multiply,ETH,100000000000000000,32818.00080001679,99.99,0,0,84179212.23210034,0.27625934543764386,84179212.23210034,0.27625934543764386,/media/38553156/saitama.png,5,CCCAGG,SAITAMA,EUR,0,3.10459152e-09,1656325043,3.104332724e-09,382308846,1.186912801312586,16544932230001,0,0,0,0,3.02532524e-09,3.1156904e-09,3.0207096e-09,3.14767972e-09,3.23793816e-09,3.01625404e-09,bilaxy,0,0,3.11240876e-09,3.11430304e-09,3.1014166e-09,0,0,-4.3088199999999946e-11,-1.3688876834012815,7.926628000000026e-11,2.6200911872867017,-7.817239999999782e-12,-0.2511636678467574,multiply,ETH,100000000000000000,31045.915200015883,99.99,0,0,84179212.23210034,0.261342068456059,84179212.23210034,0.261342068456059,/media/38553156/saitama.png
XRP,5,CCCAGG,XRP,USD,2052,0.3638,1656325048,0.36383,1273,463.149225,4384171716,127345925.74662797,46191970.172228836,174086260.64896172,63262003.89074186,0.3588,0.3666,0.3585,0.3648,0.3746,0.3575,ftx,3123171.3522483483,1136498.5586131585,0.3642,0.3647,0.3633,174086260.64896172,63262003.89074186,-0.0010000000000000009,-0.2741228070175441,0.0050000000000000044,1.3935340022296556,-0.00040000000000001146,-0.10982976386601083,direct,,99989535142,36376192884.6596,0,48343101197,17587220215.4686,1288687535.7264671,468753947.76393837,1268057333.2726936,461248680.1112555,/media/38553096/xrp.png,5,CCCAGG,XRP,INR,2052,31.6357407891,1656325057,31.61714247,264.568757716503,8369.82864001349,100739168753,30679784.9087448,970577722.8383926,52338938.68388386,1655781097.379949,31.5459745756,43.7897687841,27.9680616934,33.4342086426,43.7897687841,26.4036767508,HuobiPro,895660.0505989826,28334869.19590161,31.61714247,31.6543391082,31.5985441509,52338938.68388386,1655781097.379949,-1.7984678534999965,-5.3791249337616724,0.08976621350000258,0.2845567927688449,0.018598319100000538,0.058823529411766405,multiply,BTC,99989535142,3163243015374.9175,0,48343101197,1529369818409.522,1288711495.3867638,40769342819.989105,1268081292.9329903,40116691082.73487,/media/38553096/xrp.png,5,CCCAGG,XRP,EUR,2052,0.3438,1656325043,0.34439,353,121.6085,16745264,62098925.66112151,21229497.40675166,71102501.16848826,24348019.69725972,0.3397,0.3469,0.3387,0.3461,0.3554,0.3384,Binance,418810.06740278995,144220.60420986355,0.3444,0.3448,0.3435,71102501.16848826,24348019.69725972,-0.0023000000000000242,-0.6645478185495591,0.0040999999999999925,1.2069473064468628,-0.0005999999999999894,-0.1742160278745614,direct,,99989535142,34376402181.8196,0,48343101197,16620358191.528599,1288723694.108764,442966185.83012646,1268093491.6549904,435873522.22651917,/media/38553096/xrp.png
SOL,5,CCCAGG,SOL,USD,2052,40.74,1656325054,40.74,121.47,4948.687800000001,4384171804,2259718.637697423,90636229.01563948,5757082.47459245,232466499.2261886,39.38,41.22,38.91,40.95,42.44,38.88,ftx,39646.320737920025,1618348.633433274,40.93,40.99,40.72,5757082.47459245,232466499.2261886,-0.21000000000000085,-0.5128205128205149,1.3599999999999994,3.453529710512949,-0.18999999999999773,-0.46420718299535235,direct,,523897741.8872581,21343594004.486897,0,342768467.4082068,13964387362.210346,15145365.064864036,614945131.9538529,15145365.064864036,614945131.9538529,/media/37747734/sol.png,5,CCCAGG,SOL,INR,2052,3546.69945237,1656325055,3541.863889404,10,35466.9945237,2976624,228430.07719738633,810172829.700807,578935.2862899266,2053309462.842152,3463.40037398,4842.84086553,3069.38326204,3756.93891957,4903.34486385,2894.72933645,bithumbglobal,4047.503087409999,14355276.98358293,3557.85844383,3559.71827574,3546.69945237,578935.2862899266,2053309462.842152,-210.23946720000004,-5.59603101623124,83.29907838999998,2.4051241379949393,-11.158991459999925,-0.31364349189754104,multiply,BTC,523897741.8872581,1858107834249.4182,0,342768467.4082068,1215696735646.3914,15145390.970864035,53716149862.29302,15145390.970864035,53716149862.29302,/media/37747734/sol.png,5,CCCAGG,SOL,EUR,2052,38.57,1656325038,38.58,1,38.59,6155226,68418.11864625957,2600997.5195763665,217634.39676073,8360002.54827243,37.26,38.96,36.88,38.85,40.27,36.86,Binance,1600.08214435,61839.363833383366,38.76,38.78,38.54,217634.39676073,8360002.54827243,-0.28000000000000114,-0.7207207207207236,1.3100000000000023,3.515834675254972,-0.18999999999999773,-0.49019607843136676,direct,,523897741.8872581,20206735904.591545,0,342768467.4082068,13220579787.934538,15145390.970864035,584123573.6114368,15145390.970864035,584123573.6114368,/media/37747734/sol.png
BUSD,5,CCCAGG,BUSD,USD,2052,1,1656324908,1.001,1134.43,1134.43,1951743,504399.6800000001,504419.7299740003,1236525.430317,1236593.1350193862,1,1,0.9996,1,1,0.9997,binanceusa,2991.42,2991.41262,1,1,0.9998,1236525.430317,1236593.1350193862,0,0,0,0,0,0,direct,,17389381289.66,17389381289.66,0,17389381289.66,17389381289.66,442080724.3418584,442080792.04656076,442080724.3418584,442080792.04656076,/media/37746248/busd.png,5,CCCAGG,BUSD,INR,513,86.88099451292261,1656325043,86.87125497336173,249.8437302,21706.67175259432,1865508,224342256.59575903,19491078364.31282,595383196.5694587,51727484234.23746,87.92697633923075,78.945558046392,117.185227037668,91.56901242614747,74.62423648288377,115.2025265957447,binanceusa,4897155.153488554,425469710.0191697,86.74111732656505,86.97362917639752,86.6895673659791,595383196.5694587,51727484234.23746,-4.688017913224854,-5.119655426016361,-1.045981826308136,-1.1896028612113732,0.13987718635756607,0.16125822524392103,invert_divide,BTC,17389381289.66,1510806740410.0696,0,17389381289.66,1510806740410.0696,0,0,0,0,/media/37746248/busd.png,5,CCCAGG,BUSD,EUR,2052,0.9469696969696969,1656325059,0.946790380609733,61.2596,58,20715557,9521367.882259995,9014217.899999987,16197225.39226,15351704.4,0.9469696969696969,0.9487666034155597,0.9451795841209829,0.9496676163342831,0.9505703422053231,0.9451795841209829,Binance,643062.97002,608838.1000000003,0.9469696969696969,0.9469696969696969,0.946073793755913,16197225.39226,15351704.4,-0.0026979193645861876,-0.28409090909092555,0,0,0,0,invert,,17389381289.66,16467217130.359848,0,17389381289.66,16467217130.359848,442080724.3418584,418637049.56615376,442080724.3418584,418637049.56615376,/media/37746248/busd.png
ADA,5,CCCAGG,ADA,USD,2052,0.5052,1656325044,0.50553,32.88,16.607688,76810230,211827107.98572797,307667260.93476075,98794949.463074,49757516.99844662,0.4898,0.5085,0.4881,0.5168,0.5252,0.488,Coinbase,6228133.770135166,8268944.541031997,0.507,0.5085,0.5048,98794949.463074,49757516.99844662,-0.011600000000000055,-2.2445820433436636,0.01539999999999997,3.1441404654961147,-0.0018000000000000238,-0.35502958579882127,direct,,33463721694.338123,16905872199.97962,0,33463721694.338123,16905872199.97962,568120954.8081182,286861014.898763,566076132.9846133,285827970.91352826,/media/37746235/ada.png,5,CCCAGG,ADA,INR,2052,43.892033076,1656325053,43.892033076,172.4,7566.986502302399,69025465,7209249.308584204,316428609.105508,20005859.67319911,878097854.4898698,43.0474963728,59.747698341,38.4251101588,47.3291992215,60.98298830670001,36.2816480175,Binance,283253.75986445,12432583.3968718,43.9664263524,44.078016267,43.8548364378,20005859.67319911,878097854.4898698,-3.437166145500001,-7.262252905260684,0.8445367031999993,1.961871826147893,-0.07439327640000215,-0.1692047377326614,multiply,BTC,33463721694.338123,1468790779453.9475,0,33463721694.338123,1468790779453.9475,568122349.0578182,24936044936.060574,566077527.2343132,24846293548.94877,/media/37746235/ada.png,5,CCCAGG,ADA,EUR,1026,0.478,1656325044,0.4783,102.87,49.151286,8590050,4283554.27580358,2024424.7979466827,14877371.902212389,7124803.782006934,0.4634,0.481,0.4625,0.4903,0.4982,0.4623,Coinbase,335604.40327273996,160900.4838014609,0.4796,0.481,0.4776,14877371.902212389,7124803.782006934,-0.012300000000000033,-2.5086681623495886,0.014600000000000002,3.1506258092360815,-0.0016000000000000458,-0.33361134278566423,direct,,33463721694.338123,15995658969.893621,0,33463721694.338123,15995658969.893621,568120954.8081182,271575236.41102993,566076132.9846133,270597811.5793946,/media/37746235/ada.png
